4 1 0 991 0.030 0.136 0.189
0 0 0 992 0.021 0.134 0.227
1 0 0 624 0.018 0.110 0.170
1 1 0 655 0.034 0.096 0.239
2 0 0 603 0.077 0.272 1.451
2 1 0 929 0.020 0.134 0.236
3 0 0 289 0.019 2.243 24.117
3 1 0 296 0.019 0.340 1.116
4 0 0 422 0.058 0.112 0.157
4 1 0 954 0.034 0.123 0.230
0 0 0 1040 0.029 0.118 0.231
1 0 0 695 0.037 0.075 0.127
1 1 0 696 0.019 0.106 0.170
2 0 0 633 0.018 96.568 1671.411
2 1 0 934 0.053 0.163 0.286
3 0 0 293 0.018 0.575 3.197
3 1 0 304 0.020 0.630 3.494
4 0 0 477 0.033 0.062 0.121
4 1 0 987 0.023 0.141 0.276
0 0 0 1012 0.037 0.145 0.613
1 0 0 687 0.022 0.062 0.093
1 1 0 685 0.020 0.102 0.187
2 0 0 619 0.020 2.551 68.145
2 1 0 930 0.029 0.132 0.178
3 0 0 295 0.049 0.345 1.207
3 1 0 283 0.020 0.559 6.468
4 0 0 390 0.022 0.106 0.171
4 1 0 973 0.058 0.145 0.215
0 0 0 1022 0.026 0.120 0.205
1 0 0 700 0.033 0.076 0.107
1 1 0 689 0.036 0.853 4.928
2 0 0 618 0.018 13.140 357.755
2 1 0 949 0.023 0.134 0.225
3 0 0 306 0.024 0.587 1.954
3 1 0 287 0.022 2.543 32.099
4 0 0 452 0.029 0.106 0.181
4 1 0 985 0.050 0.109 0.180
0 0 0 1031 0.029 0.136 0.186
1 0 0 690 0.020 0.090 0.171
1 1 0 691 0.026 0.082 0.147
2 0 0 627 0.019 0.157 0.304
2 1 0 955 0.076 0.128 0.180
3 0 0 284 0.020 0.308 1.164
3 1 0 304 0.025 0.868 10.118
4 0 0 453 0.028 0.097 0.164
4 1 0 993 0.022 0.292 2.965
0 0 0 1030 0.021 0.132 0.187
1 0 0 692 0.019 0.078 0.094
1 1 0 693 0.037 0.091 0.160
2 0 0 633 0.020 126.376 2442.862
2 1 0 930 0.022 0.174 2.018
3 0 0 280 0.024 0.828 10.998
3 1 0 279 0.115 0.606 9.677
4 0 0 169 0.023 0.133 0.240
4 1 0 987 0.027 0.166 0.446
0 0 0 998 0.017 0.121 0.180
1 0 0 678 0.018 0.075 0.092
1 1 0 673 0.036 0.541 1.385
2 0 0 619 0.019 6.334 173.560
2 1 0 901 0.041 0.120 0.232
3 0 0 291 0.022 0.486 1.857
3 1 0 282 0.026 0.223 0.578
4 0 0 299 0.031 0.116 0.181
4 1 0 950 0.026 0.136 0.212
0 0 0 1039 0.022 0.128 0.183
1 0 0 709 0.026 0.124 1.096
1 1 0 703 0.024 0.320 4.526
2 0 0 639 0.023 76.334 1792.698
2 1 0 940 0.034 0.130 0.417
3 0 0 308 0.020 0.658 3.650
3 1 0 307 0.038 0.356 1.162
4 0 0 201 0.024 0.116 0.188
4 1 0 1003 0.034 0.126 0.238
0 0 0 1042 0.025 0.124 0.229
1 0 0 703 0.021 0.077 0.136
1 1 0 707 0.019 0.107 0.168
2 0 0 646 0.022 276.171 6348.274
2 1 0 908 0.043 0.150 0.514
3 0 0 285 0.019 0.575 2.491
3 1 0 302 0.023 1.038 9.610
4 0 0 285 0.017 0.106 0.157
4 1 0 1002 0.019 0.131 0.236
0 0 0 1024 0.024 0.110 0.230
1 0 0 689 0.018 0.084 0.108
1 1 0 690 0.026 0.086 0.781
2 0 0 619 0.033 42.817 973.134
2 1 0 941 0.022 0.117 0.180
3 0 0 284 0.018 0.354 1.131
3 1 0 287 0.041 0.520 4.974
4 0 0 480 0.021 0.117 0.201
4 1 0 978 0.024 0.114 0.202
0 0 0 1036 0.033 0.118 0.189
1 0 0 701 0.065 0.083 0.108
1 1 0 694 0.028 0.098 0.157
2 0 0 638 0.019 0.140 0.441
2 1 0 909 0.082 0.102 0.171
3 0 0 304 0.019 0.452 1.417
3 1 0 310 0.020 0.918 4.862
4 0 0 456 0.129 0.132 0.245
4 1 0 986 0.020 0.129 0.185
0 0 0 1011 0.020 0.122 0.228
1 0 0 681 0.077 0.072 0.091
1 1 0 678 0.862 0.075 0.220
2 0 0 643 0.022 263.736 6063.593
2 1 0 929 0.018 0.109 0.202
3 0 0 290 0.020 1.123 6.787
